symbol,year,quickRatio,currentRatio,roe,totalAssets,EBIT,roa,netDebt_ebit,sd_closingPrice,industry
AAP,2016,20,130,31,8134565000,818296000,0.05819585927458936,1.3723359273416955,9.5893645595068,Consumer Discretionary
AAPL,2016,133,135,48,321686000000,61372000000,0.14202358821956815,1.0843381346542398,7.640743470391197,Information Technology
ABC,2016,48,90,65,33656200000,1530822000,0.04242692282551209,1.1363574602403153,6.053499549528836,Health Care
ADBE,2016,208,208,19,12707114000,1505580000,0.09197855626383772,0.59163445316755,7.77440842018577,Information Technology
ADI,2016,587,635,19,7970278000,1045678000,0.1081096543934854,0.7756163943393665,6.2651378316751325,Information Technology
ADSK,2016,188,188,1,5515300000,1300000,-0.0599242108316864,103.61538461538461,8.940708920366363,Information Technology
AIZ,2016,NA,NA,21,29709128000,906207000,0.019029505006003544,0.26711557072501096,5.880482738853293,Financials
AJG,2016,NA,NA,10,11489600000,466700000,0.03606740008355382,8.101778444396828,4.3346095478884825,Financials
ALLE,2016,142,193,260,2247400000,359300000,0.10194001957817923,3.20456443083774,3.9053054939853684,Industrials
ALXN,2016,268,313,7,13253000000,673000000,0.030106391005810005,3.450222882615156,13.80597528637942,Health Care
AMAT,2016,174,230,28,14588000000,2168000000,0.11797367699479024,-0.029059040590405903,5.086180029789578,Information Technology
AMGN,2016,386,411,31,77626000000,10423000000,0.0994769793625847,3.0082509834020916,10.12350609923014,Health Care
AMZN,2016,78,104,20,83402000000,4376000000,0.02842857485432004,-2.659963436928702,92.36231245344666,Consumer Discretionary
AN,2016,20,81,30,10060000000,894300000,0.04279324055666004,4.692161467069216,2.5401676448532404,Consumer Discretionary
APC,2016,158,158,31,45564000000,-2939000000,-0.06739970151874286,-4.130316434161279,9.566154713230755,Energy
APD,2016,113,131,30,18055300000,2247700000,0.03495372549888399,2.10165947412911,9.149171226594923,Materials
AVGO,2016,186,231,6,49966000000,-522000000,-0.03724532682223912,-20.201149425287355,16.60374828988578,Information Technology
AVY,2016,89,122,42,4133700000,469400000,0.06635701671625904,1.9175543246697913,5.236531672890754,Materials
AYI,2016,153,197,27,2948000000,476800000,0.09864314789687924,-0.12164429530201343,24.163856191949385,Industrials
AZO,2016,13,90,107,8599787000,2060395000,0.14430671364302394,2.2978045471863404,26.669501759281953,Consumer Discretionary
BA,2016,38,125,682,89997000000,5874000000,0.05439070191228596,0.19594824651004425,9.89408684216261,Industrials
BBBY,2016,52,205,52,6498940000,1414903000,0.12948096151064636,0.695755822130563,2.7460508837516056,Consumer Discretionary
BBY,2016,70,143,30,13519000000,1390000000,0.06635106146904357,-0.17410071942446043,5.51081009502217,Consumer Discretionary
BCR,2016,165,209,40,5306100000,718200000,0.10014888524528373,0.7451963241436925,15.434860461185481,Health Care
BDX,2016,106,145,14,25586000000,1462000000,0.03814586101774408,6.846785225718194,11.960694721754994,Health Care
BHI,2016,319,398,16,19034000000,-1862000000,-0.14384785121361773,0.8345864661654135,7.0875797122524755,Energy
BIIB,2016,226,255,41,22876800000,4933000000,0.16185830186040007,0.849564159740523,23.646906468781953,Health Care
BWA,2016,109,139,5,8834700000,232200000,0.01341301911779687,7.647717484926787,2.8787724412755127,Consumer Discretionary
CAG,2016,79,141,16,13390600000,881400000,-0.050557854016997,5.325051055139551,2.098060642884467,Consumer Staples
CAH,2016,58,111,35,34122000000,2454000000,0.041820526346638534,1.2970660146699267,4.656416218032013,Health Care
CAT,2016,89,122,1,74704000000,644000000,-8.968729920753909e-4,45.9860248447205,9.569962296564633,Industrials
CCL,2016,19,24,13,38936000000,3051000000,0.07137353605917403,2.9010160603080957,2.586129741635638,Consumer Discretionary
CELG,2016,350,367,36,28085600000,2872600000,0.07118238527928904,2.8264638306760426,6.54663103078029,Health Care
CERN,2016,233,235,20,5561984000,781380000,0.09697295065933308,0.25983260385471857,5.080564455269184,Health Care
CERN,2016,190,192,23,5629963000,918434000,0.11305296322551321,0.42778033043201796,5.080564455269184,Health Care
CHTR,2016,34,34,2,149067000000,3319000000,0.023626959689267243,18.1416089183489,36.85315387099438,Consumer Discretionary
CLX,2016,67,95,331,4518000000,1071000000,0.14342629482071714,1.7917833800186742,6.149487148137005,Consumer Staples
CMA,2016,NA,NA,9,72978000000,742000000,0.006536216393981748,-26.36388140161725,9.354426768093594,Financials
CMG,2016,180,185,3,2026103000,38739000,0.011321240825367713,-2.2685149332713803,38.27663160738671,Consumer Discretionary
CMI,2016,116,178,28,15011000000,1999000000,0.0928652321630804,0.36818409204602304,14.70450320419332,Industrials
CMS,2016,62,86,19,21622000000,1266000000,0.02608454352048839,7.725118483412322,2.1802592453463396,Utilities
COL,2016,66,149,45,7707000000,999000000,0.09445958219800181,1.7837837837837838,4.077832457641763,Industrials
COO,2016,96,174,11,4475918000,321823000,0.0611979486666199,3.8311618498367115,17.865695409703022,Health Care
COST,2016,40,98,30,33163000000,3752000000,0.07086210535838133,0.47494669509594883,6.7490278686323055,Consumer Staples
CPB,2016,38,75,56,7837000000,964000000,0.07183871379354345,3.357883817427386,4.153648719331313,Consumer Staples
CRM,2016,77,77,1,12770772000,136764000,-0.0037136361059456704,0.9913719984791319,5.476469317779062,Information Technology
CSCO,2016,311,316,20,121652000000,13596000000,0.08827639496268043,1.5454545454545454,2.330268632261471,Information Technology
CSRA,2016,93,93,231,4846300000,202564000,0.02123723252790789,13.847618530439762,2.4286457270354482,Information Technology
CSX,2016,102,122,23,35414000000,3320000000,0.048398938272999376,3.2198795180722892,3.841410088767001,Industrials
CTAS,2016,164,195,39,4104393000,782644000,0.16897017415242643,1.4829769345960615,12.139654654342783,Industrials
CTXS,2016,82,83,24,6390227000,661713000,0.0838956112200709,0.5911928585353469,6.9763698449353235,Information Technology
CVS,2016,62,118,23,94462000000,9695000000,0.056287184264572,3.466838576585869,8.180001606148068,Consumer Staples
DAL,2016,43,49,54,51261000000,7024000000,0.08530851914710989,0.692625284738041,4.586309131157272,Industrials
DD,2016,129,192,33,39964000000,3635000000,0.06288159343409068,1.0814305364511692,4.854959173592813,Materials
DE,2016,194,211,34,57981400000,2987700000,0.02628256647821543,10.489205743548549,7.54853170980811,Industrials
DG,2016,18,172,34,11257885000,1939968000,0.10349013158333026,1.4498213372591713,8.726945078241137,Consumer Discretionary
DHI,2016,NA,NA,20,11558900000,1353500000,0.07667684641272093,1.447063169560399,2.2005881266234493,Consumer Discretionary
DIS,2016,92,101,34,92033000000,14868000000,0.10203948583660209,1.0465429109496907,3.789603215484885,Consumer Discretionary
DISCA,2016,166,166,32,15758000000,2024000000,0.07577103693362101,3.766304347826087,1.3125500561945358,Consumer Discretionary
DISCK,2016,166,166,32,15758000000,2024000000,0.07577103693362101,3.766304347826087,1.285844783524503,Consumer Discretionary
DLPH,2016,101,131,59,12292000000,1581000000,0.10226163358281809,1.9810246679316887,4.011936496958102,Consumer Discretionary
DLTR,2016,50,188,10,15901200000,1047600000,0.017759665937161974,6.309946544482627,6.8876874298398905,Consumer Discretionary
DOV,2016,89,133,18,10115991000,825733000,0.050305699164817363,3.9625896022079776,5.604788425005298,Industrials
DPS,2016,241,260,60,9791000000,1430000000,0.08650801756715351,1.8818181818181818,3.347638941702709,Consumer Staples
DRI,2016,54,69,23,4582600000,449700000,0.08183127482215337,0.3673560151211919,4.504995115047417,Consumer Discretionary
DVN,2016,144,144,65,25913000000,-2973000000,-0.12742638829930922,-2.756474941136899,8.07072090305094,Energy
EA,2016,179,180,26,7050000000,877000000,0.16397163120567376,-1.5290763968072976,7.848456185084676,Information Technology
EBAY,2016,231,231,35,23847000000,3651000000,0.3046924141401434,1.956724185154752,3.2771364393179643,Information Technology
ED,2016,80,89,14,48255000000,2639000000,0.025800435188063412,5.732853353543009,3.508223785441021,Utilities
EL,2016,110,158,44,9223300000,1625900000,0.12084611798380189,0.8164093732701888,5.684604216206303,Consumer Staples
EMR,2016,109,124,31,21743000000,2504000000,0.07653037759278848,1.3833865814696487,3.477691569994152,Industrials
EQT,2016,227,227,7,15472922000,-246607000,-0.029275853649362416,-9.90994578418293,6.465154971516779,Energy
EXC,2016,80,92,8,114904000000,3525000000,0.009869108125043515,10.016170212765957,2.2454135925075893,Utilities
EXPE,2016,56,56,7,15777546000,449748000,0.017863868056540604,2.9878776559317664,7.470329131635959,Consumer Discretionary
F,2016,110,120,23,237951000000,7690000000,0.01931490096700581,16.523407022106632,0.6657713728454573,Consumer Discretionary
FAST,2016,264,624,41,2668884000,796233000,0.18714863590924147,0.34822093532923154,3.179909611813087,Industrials
FB,2016,1197,1197,21,64961000000,12518000000,0.1568325610751066,-0.6888480587953347,8.89985801731385,Information Technology
FDX,2016,144,150,20,46064000000,3076000000,0.039510246613407435,3.359232769830949,17.8172724960958,Industrials
FFIV,2016,149,153,46,2306323000,549891000,0.15863129318833485,-0.9357690887830498,16.41237309902563,Information Technology
FL,2016,189,372,33,3775000000,841000000,0.1433112582781457,-1.0594530321046374,5.899818809738285,Consumer Discretionary
FLR,2016,107,147,17,9216417000,616289000,0.03053258115382583,-0.4060497591227492,3.4963482547530633,Industrials
FLS,2016,120,198,14,4742762000,283560000,0.03058555331260561,4.244114120468331,3.566855655380782,Industrials
