symbol,year,quickRatio,currentRatio,roe,totalAssets,EBIT,eps,roa,netDebt_ebit,sd_closingPrice,average_closingPrice,industry,size_cap,pe_ratio
AAP,2016,20,130,31,8134565000,818296000,6.45,0.05819585927458936,1.3723359273416955,9.5893645595068,155.48813511111112,Consumer Discretionary,large cap,24.106687614125754
AAPL,2016,133,135,48,321686000000,61372000000,8.35,0.14202358821956815,1.0843381346542398,7.640743470391197,104.60400786904762,Information Technology,mega cap,12.527426092101512
ABC,2016,48,90,65,33656200000,1530822000,6.73,0.04242692282551209,1.1363574602403153,6.053499549528836,83.20952378571428,Health Care,large cap,12.363970844831245
ADBE,2016,208,208,19,12707114000,1505580000,NA,0.09197855626383772,0.59163445316755,7.77440842018577,97.32503951587302,Information Technology,small cap,NA
ADI,2016,587,635,19,7970278000,1045678000,0.96,0.1081096543934854,0.7756163943393665,6.2651378316751325,60.22039660714286,Information Technology,mega cap,62.72957979910715
ADSK,2016,188,188,1,5515300000,1300000,-1.46,-0.0599242108316864,103.61538461538461,8.940708920366363,61.72519842857143,Information Technology,large cap,-42.27753317025441
AIZ,2016,NA,NA,21,29709128000,906207000,NA,0.019029505006003544,0.26711557072501096,5.880482738853293,83.7579363968254,Financials,small cap,NA
AJG,2016,NA,NA,10,11489600000,466700000,NA,0.03606740008355382,8.101778444396828,4.3346095478884825,46.55448403968254,Financials,small cap,NA
ALLE,2016,142,193,260,2247400000,359300000,NA,0.10194001957817923,3.20456443083774,3.9053054939853684,66.10369043253968,Industrials,small cap,NA
ALXN,2016,268,313,7,13253000000,673000000,NA,0.030106391005810005,3.450222882615156,13.80597528637942,134.85746038888888,Health Care,small cap,NA
AMAT,2016,174,230,28,14588000000,2168000000,1.56,0.11797367699479024,-0.029059040590405903,5.086180029789578,24.70738094047619,Information Technology,mega cap,15.838064705433455
AMGN,2016,386,411,31,77626000000,10423000000,NA,0.0994769793625847,3.0082509834020916,10.12350609923014,156.01960320634922,Health Care,small cap,NA
AMZN,2016,78,104,20,83402000000,4376000000,NA,0.02842857485432004,-2.659963436928702,92.36231245344666,699.5231348611111,Consumer Discretionary,small cap,NA
AN,2016,20,81,30,10060000000,894300000,NA,0.04279324055666004,4.692161467069216,2.5401676448532404,47.995039670634924,Consumer Discretionary,small cap,NA
APC,2016,158,158,31,45564000000,-2939000000,NA,-0.06739970151874286,-4.130316434161279,9.566154713230755,53.10698403968254,Energy,small cap,NA
APD,2016,113,131,30,18055300000,2247700000,2.92,0.03495372549888399,2.10165947412911,9.149171226594923,133.30032281504364,Materials,mega cap,45.65079548460399
AVGO,2016,186,231,6,49966000000,-522000000,NA,-0.03724532682223912,-20.201149425287355,16.60374828988578,157.19031747619047,Information Technology,small cap,NA
AVY,2016,89,122,42,4133700000,469400000,3.01,0.06635701671625904,1.9175543246697913,5.236531672890754,72.08571445634921,Materials,large cap,23.948742344302065
AYI,2016,153,197,27,2948000000,476800000,6.67,0.09864314789687924,-0.12164429530201343,24.163856191949385,241.6402780357143,Industrials,large cap,36.227927741486404
AZO,2016,13,90,107,8599787000,2060395000,41.52,0.14430671364302394,2.2978045471863404,26.669501759281953,768.8588489166667,Consumer Discretionary,mega cap,18.517795012443802
BA,2016,38,125,682,89997000000,5874000000,NA,0.05439070191228596,0.19594824651004425,9.89408684216261,133.11150809920636,Industrials,small cap,NA
BBBY,2016,52,205,52,6498940000,1414903000,5.15,0.12948096151064636,0.695755822130563,2.7460508837516056,44.98726186111111,Consumer Discretionary,large cap,8.735390652642932
BBY,2016,70,143,30,13519000000,1390000000,2.59,0.06635106146904357,-0.17410071942446043,5.51081009502217,34.85968259920635,Consumer Discretionary,large cap,13.459336910890483
BCR,2016,165,209,40,5306100000,718200000,NA,0.10014888524528373,0.7451963241436925,15.434860461185481,212.32765900793652,Health Care,small cap,NA
BDX,2016,106,145,14,25586000000,1462000000,4.59,0.03814586101774408,6.846785225718194,11.960694721754994,163.87293597222222,Health Care,mega cap,35.702164699830554
BHI,2016,319,398,16,19034000000,-1862000000,NA,-0.14384785121361773,0.8345864661654135,7.0875797122524755,49.02242082539683,Energy,small cap,NA
BIIB,2016,226,255,41,22876800000,4933000000,NA,0.16185830186040007,0.849564159740523,23.646906468781953,280.19896831349206,Health Care,small cap,NA
BWA,2016,109,139,5,8834700000,232200000,NA,0.01341301911779687,7.647717484926787,2.8787724412755127,34.54587291666667,Consumer Discretionary,small cap,NA
CAG,2016,79,141,16,13390600000,881400000,-1.57,-0.050557854016997,5.325051055139551,2.098060642884467,35.366001293512696,Consumer Staples,large cap,-22.526115473574965
CAH,2016,58,111,35,34122000000,2454000000,4.36,0.041820526346638534,1.2970660146699267,4.656416218032013,78.52670639285714,Health Care,mega cap,18.010712475425947
CAT,2016,89,122,1,74704000000,644000000,NA,-8.968729920753909e-4,45.9860248447205,9.569962296564633,78.69801573015873,Industrials,small cap,NA
CCL,2016,19,24,13,38936000000,3051000000,NA,0.07137353605917403,2.9010160603080957,2.586129741635638,48.426388896825394,Consumer Discretionary,small cap,NA
CELG,2016,350,367,36,28085600000,2872600000,NA,0.07118238527928904,2.8264638306760426,6.54663103078029,106.5223809047619,Health Care,small cap,NA
CERN,2016,233,235,20,5561984000,781380000,1.57,0.09697295065933308,0.25983260385471857,5.080564455269184,56.63162715079365,Health Care,large cap,36.071100096046905
CERN,2016,190,192,23,5629963000,918434000,NA,0.11305296322551321,0.42778033043201796,5.080564455269184,56.63162715079365,Health Care,small cap,NA
CHTR,2016,34,34,2,149067000000,3319000000,NA,0.023626959689267243,18.1416089183489,36.85315387099438,229.49678584920636,Consumer Discretionary,small cap,NA
CLX,2016,67,95,331,4518000000,1071000000,5.01,0.14342629482071714,1.7917833800186742,6.149487148137005,126.44531761904761,Consumer Staples,large cap,25.23858635110731
CMA,2016,NA,NA,9,72978000000,742000000,NA,0.006536216393981748,-26.36388140161725,9.354426768093594,45.71349196031746,Financials,small cap,NA
CMG,2016,180,185,3,2026103000,38739000,NA,0.011321240825367713,-2.2685149332713803,38.27663160738671,428.5646429126984,Consumer Discretionary,small cap,NA
CMI,2016,116,178,28,15011000000,1999000000,NA,0.0928652321630804,0.36818409204602304,14.70450320419332,116.46027793650794,Industrials,small cap,NA
CMS,2016,62,86,19,21622000000,1266000000,NA,0.02608454352048839,7.725118483412322,2.1802592453463396,41.45900794047619,Utilities,small cap,NA
COL,2016,66,149,45,7707000000,999000000,5.58,0.09445958219800181,1.7837837837837838,4.077832457641763,87.1024209563492,Industrials,large cap,15.609752859560789
COO,2016,96,174,11,4475918000,321823000,5.65,0.0611979486666199,3.8311618498367115,17.865695409703022,163.99738096031746,Health Care,large cap,29.026085125719902
COST,2016,40,98,30,33163000000,3752000000,5.36,0.07086210535838133,0.47494669509594883,6.7490278686323055,154.35353113095238,Consumer Staples,mega cap,28.797300584132905
CPB,2016,38,75,56,7837000000,964000000,1.82,0.07183871379354345,3.357883817427386,4.153648719331313,59.536984289682536,Consumer Staples,large cap,32.7126287305948
CRM,2016,77,77,1,12770772000,136764000,-0.07,-0.0037136361059456704,0.9913719984791319,5.476469317779062,74.55396832142857,Information Technology,mega cap,-1065.0566903061224
CSCO,2016,311,316,20,121652000000,13596000000,2.13,0.08827639496268043,1.5454545454545454,2.330268632261471,28.789682543650795,Information Technology,mega cap,13.516282884343097
CSRA,2016,93,93,231,4846300000,202564000,0.54,0.02123723252790789,13.847618530439762,2.4286457270354482,26.57603179761905,Information Technology,large cap,49.21487369929453
CSX,2016,102,122,23,35414000000,3320000000,NA,0.048398938272999376,3.2198795180722892,3.841410088767001,28.13742057142857,Industrials,small cap,NA
CTAS,2016,164,195,39,4104393000,782644000,6.3,0.16897017415242643,1.4829769345960615,12.139654654342783,100.0645633015873,Industrials,large cap,15.883264016124969
CTXS,2016,82,83,24,6390227000,661713000,NA,0.0838956112200709,0.5911928585353469,6.9763698449353235,81.60301582936508,Information Technology,small cap,NA
CVS,2016,62,118,23,94462000000,9695000000,NA,0.056287184264572,3.466838576585869,8.180001606148068,93.04936485714286,Consumer Staples,small cap,NA
DAL,2016,43,49,54,51261000000,7024000000,NA,0.08530851914710989,0.692625284738041,4.586309131157272,43.113253825396825,Industrials,small cap,NA
DD,2016,129,192,33,39964000000,3635000000,NA,0.06288159343409068,1.0814305364511692,4.854959173592813,66.1764681547619,Materials,small cap,NA
DE,2016,194,211,34,57981400000,2987700000,0.91,0.02628256647821543,10.489205743548549,7.54853170980811,84.05460302380952,Industrials,mega cap,92.36769563055991
DG,2016,18,172,34,11257885000,1939968000,3.96,0.10349013158333026,1.4498213372591713,8.726945078241137,79.98833323412698,Consumer Discretionary,mega cap,20.199074049021966
DHI,2016,NA,NA,20,11558900000,1353500000,2.39,0.07667684641272093,1.447063169560399,2.2005881266234493,29.699047646825395,Consumer Discretionary,large cap,12.42637976854619
